,Survived,Pclass,_Title_,_Sex_,SibSp,Parch,Fare,Age,_HasCabin_,_Embarked_
0,0,3,0,1,1,0,7.25,22.0,0,0
1,1,1,1,0,1,0,71.2833,38.0,1,1
2,1,3,2,0,0,0,7.925,26.0,0,0
3,1,1,1,0,1,0,53.1,35.0,1,0
4,0,3,0,1,0,0,8.05,35.0,0,0
5,0,3,0,1,0,0,8.4583,29.0,0,2
6,0,1,0,1,0,0,51.8625,54.0,1,0
7,0,3,4,1,3,1,21.075,2.0,0,0
8,1,3,1,0,0,2,11.1333,27.0,0,0
9,1,2,1,0,1,0,30.0708,14.0,0,1
10,1,3,2,0,1,1,16.7,4.0,1,0
11,1,1,2,0,0,0,26.55,58.0,1,0
12,0,3,0,1,0,0,8.05,20.0,0,0
13,0,3,0,1,1,5,31.275,39.0,0,0
14,0,3,2,0,0,0,7.8542,14.0,0,0
15,1,2,1,0,0,0,16.0,55.0,0,0
16,0,3,4,1,4,1,29.125,2.0,0,2
17,1,2,0,1,0,0,13.0,33.0,0,0
18,0,3,1,0,1,0,18.0,31.0,0,0
19,1,3,1,0,0,0,7.225,36.0,0,1
20,0,2,0,1,0,0,26.0,35.0,0,0
21,1,2,0,1,0,0,13.0,34.0,1,0
22,1,3,2,0,0,0,8.0292,15.0,0,2
23,1,1,0,1,0,0,35.5,28.0,1,0
24,0,3,2,0,3,1,21.075,8.0,0,0
25,1,3,1,0,1,5,31.3875,38.0,0,0
26,0,3,0,1,0,0,7.225,21.0,0,1
27,0,1,0,1,3,2,263.0,19.0,1,0
28,1,3,2,0,0,0,7.8792,9.0,0,2
29,0,3,0,1,0,0,7.8958,59.0,0,0
30,0,1,3,1,0,0,27.7208,40.0,0,1
31,1,1,1,0,1,0,146.5208,37.0,1,1
32,1,3,2,0,0,0,7.75,12.0,0,2
33,0,2,0,1,0,0,10.5,66.0,0,0
34,0,1,0,1,1,0,82.1708,28.0,0,1
35,0,1,0,1,1,0,52.0,42.0,0,0
36,1,3,0,1,0,0,7.2292,28.0,0,1
37,0,3,0,1,0,0,8.05,21.0,0,0
38,0,3,2,0,2,0,18.0,18.0,0,0
39,1,3,2,0,1,0,11.2417,14.0,0,1
40,0,3,1,0,1,0,9.475,40.0,0,0
41,0,2,1,0,1,0,21.0,27.0,0,0
42,0,3,0,1,0,0,7.8958,57.0,0,1
43,1,2,2,0,1,2,41.5792,3.0,0,1
44,1,3,2,0,0,0,7.8792,19.0,0,2
45,0,3,0,1,0,0,8.05,53.0,0,0
46,0,3,0,1,1,0,15.5,21.0,0,2
47,1,3,2,0,0,0,7.75,14.0,0,2
48,0,3,0,1,2,0,21.6792,32.0,0,1
49,0,3,1,0,1,0,17.8,18.0,0,0
